RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
1,4,2016-08-13T04:00:00.000Z,GROVE AVE ,,Unsexed - 1 Year         ,2016,1100
2,4,2017-03-15T04:00:00.000Z,SHERIDAN AVE ,,Unsexed - 1 Year         ,2016,1000
3,4,2016-10-25T04:00:00.000Z,GROVE AVE ,0000,Unsexed - 1 Year         ,2015,1000
4,12,2016-07-04T04:00:00.000Z,DRUID AVE ,0054,Unsexed - 3 Year         ,2013,11000
5,4,2018-08-02T04:00:00.000Z,MADISON AVE ,0202,Unsexed - 1 Year         ,2015,700
6,4,2016-09-02T04:00:00.000Z,ARBOR CIR ,03136,Unsexed - 1 Year         ,2015,400
7,10,2018-08-31T04:00:00.000Z,ARBOR CIR ,03137,Sexed - 1 Year           ,2015,400
8,4,2018-06-17T04:00:00.000Z,KENWOOD LN ,03448,Unsexed - 1 Year         ,2013,1200
9,4,2019-03-14T04:00:00.000Z,TARLETON DR ,03665,Unsexed - 1 Year         ,2016,2100
10,4,2018-03-03T05:00:00.000Z,RIVES ST ,03704,Unsexed - 1 Year         ,2016,900
11,4,2020-09-07T04:00:00.000Z,CHESAPEAKE ST ,04575,Unsexed - 1 Year         ,2016,1300
12,4,2019-07-07T04:00:00.000Z,DRUID AVE ,04819,Unsexed - 1 Year         ,2017,1000
13,4,2018-10-28T04:00:00.000Z,EDGE HILL RD ,08185,Unsexed - 1 Year         ,2017,1200
14,4,2021-01-19T05:00:00.000Z,MONTEBELLO CIR ,08338,Unsexed - 1 Year         ,2017,200
15,4,2021-04-08T04:00:00.000Z,ROCKLAND AVE ,08386,Unsexed - 1 Year         ,2017,700
16,30,2018-11-30T05:00:00.000Z,LEXINGTON AVE ,08597,Sexed - 3 Year           ,2019,700
17,150,2017-02-06T05:00:00.000Z,ROCK CREEK RD ,101,Dangerous Dog Regis.     ,2011,900
18,10,2021-08-16T04:00:00.000Z,ROSE HILL DR ,10166,Lifetime dog tag,2019,1600
19,150,2017-02-06T05:00:00.000Z,ROCK CREEK RD ,102,Dangerous Dog Regis.     ,2012,900
20,85,2017-02-06T05:00:00.000Z,ROCK CREEK RD ,103,Dangerous Dog Renewal    ,2013,900
21,4,2019-07-11T04:00:00.000Z,RAINIER RD ,10347,Unsexed - 1 Year         ,2014,600
22,150,2019-08-27T04:00:00.000Z,UNASSIGNED ,106,Dangerous Dog Regis.     ,2018,0
23,4,2014-02-15T05:00:00.000Z,UNKNOWN ,10701,Unsexed - 1 Year         ,2014,0
24,12,2017-02-09T05:00:00.000Z,PRICE AVE ,10797,Unsexed - 3 Year         ,2016,2300
25,4,2013-02-21T05:00:00.000Z,E MARKET ST ,10915,Unsexed - 1 Year         ,2010,1300
26,10,2015-04-21T04:00:00.000Z,MAYWOOD LN ,10996,Sexed - 1 Year           ,2014,200
27,12,2011-05-19T04:00:00.000Z,6TH ST SW ,11111,Unsexed - 3 Year         ,2012,300
28,12,2012-12-30T05:00:00.000Z,CAMELLIA DR ,12069,Unsexed - 3 Year         ,2012,300
29,12,2012-07-30T04:00:00.000Z,CHESAPEAKE ST ,12074,Unsexed - 3 Year         ,2012,1700
30,12,2021-05-23T04:00:00.000Z,GROVE RD ,12462,Unsexed - 3 Year         ,2018,1400
31,4,2017-03-11T05:00:00.000Z,CITY WALK WAY ,12504,Unsexed - 1 Year         ,2015,4100
32,10,2016-09-22T04:00:00.000Z,SUMMIT ST ,12706,Sexed - 1 Year           ,2016,100
33,4,2016-11-15T05:00:00.000Z,HUNTLEY AVE ,12732,Unsexed - 1 Year         ,2016,200
34,4,2018-12-18T05:00:00.000Z,HARTMANS MILL RD ,13531,Unsexed - 1 Year         ,2016,100
